id,pickup_id,shelter_id,delivered_kg,delivered_ts
248,175,17,76.3,2025-10-24 17:30:46
249,176,48,37.92,2025-09-10 15:30:41
250,176,9,30.28,2025-09-10 14:42:41
251,177,45,6.11,2025-07-21 09:57:08
252,177,5,3.79,2025-07-21 10:15:08
253,178,34,11.5,2025-10-01 20:06:28
254,179,9,10.24,2025-02-17 23:58:49
255,179,45,5.46,2025-02-18 00:04:49
256,180,19,40.5,2025-02-04 11:57:08
257,181,58,83.5,2025-08-03 00:15:41
258,182,40,42.9,2025-09-30 07:57:59
259,183,3,66.0,2025-11-05 00:17:13
260,184,29,9.9,2025-05-24 15:25:04
261,185,54,6.23,2025-05-01 12:31:54
262,185,19,5.87,2025-05-01 11:52:54
263,186,12,20.08,2025-10-27 02:50:59
264,186,50,16.42,2025-10-27 02:49:59
265,187,60,5.5,2025-01-30 05:10:05
266,188,58,23.1,2025-08-03 11:00:13
267,189,24,94.5,2025-07-15 16:26:48
268,190,29,14.56,2025-04-29 11:29:46
269,190,33,19.54,2025-04-29 11:10:46
270,191,7,38.35,2025-07-21 22:16:40
271,191,20,74.45,2025-07-21 21:07:40
272,192,37,26.0,2025-04-17 22:20:08
273,193,38,31.5,2025-09-07 07:43:09
274,194,19,9.4,2025-10-08 05:51:03
275,195,49,102.7,2025-11-17 20:35:34
276,196,3,11.3,2025-08-13 08:21:51
277,197,14,13.44,2025-09-06 13:32:46
278,197,34,10.26,2025-09-06 12:54:46
279,198,21,24.1,2025-07-07 22:50:19
280,199,11,19.2,2025-09-25 19:06:37
281,200,32,37.9,2025-05-13 11:34:28
282,201,19,104.8,2025-05-15 11:36:12
283,202,60,28.48,2025-02-11 14:05:21
284,202,43,35.51,2025-02-11 14:21:21
285,202,10,29.7,2025-02-11 14:27:21
286,203,54,16.8,2025-02-25 02:24:29
287,204,2,47.4,2025-04-07 18:33:48
288,205,58,99.5,2025-05-02 18:57:51
289,206,13,64.8,2025-07-14 02:38:38
290,207,53,9.7,2025-06-27 23:37:54
291,208,19,18.8,2025-04-20 15:01:52
292,209,9,12.2,2025-01-04 13:29:08
293,209,30,9.29,2025-01-04 14:09:08
294,209,59,7.01,2025-01-04 13:00:08
295,210,59,17.6,2025-05-23 10:57:40
296,211,32,6.33,2025-08-07 13:35:45
297,211,6,8.67,2025-08-07 13:13:45
298,212,43,14.57,2025-06-25 07:19:25
299,212,23,6.33,2025-06-25 06:00:25
300,213,47,23.8,2025-08-26 15:58:05
301,213,21,17.8,2025-08-26 15:39:05
302,214,18,36.4,2025-05-23 08:33:54
303,215,33,19.3,2025-01-17 00:56:10
304,216,21,20.97,2025-06-27 21:04:31
305,216,28,67.53,2025-06-27 19:40:31
306,217,51,12.7,2025-03-05 12:17:43
307,218,54,37.5,2025-05-11 23:47:40
308,219,57,34.3,2025-04-27 20:12:02
309,220,41,17.9,2025-06-12 03:57:12
310,221,38,43.9,2025-08-21 04:03:03
311,222,44,32.4,2025-08-13 16:34:34
312,223,10,25.4,2025-09-02 16:06:24
313,224,47,18.6,2025-01-13 14:48:30
314,225,13,7.3,2025-05-03 04:15:33
315,226,34,57.7,2025-10-29 07:36:55
316,227,28,40.71,2025-01-25 12:40:13
317,227,32,30.09,2025-01-25 12:48:13
318,228,46,16.4,2025-07-06 03:20:26
319,229,45,115.2,2025-05-14 07:46:08
320,230,41,32.0,2025-09-08 05:02:31
321,231,23,31.3,2025-04-19 18:02:41
322,232,12,28.4,2025-04-23 15:16:49
323,233,43,22.2,2025-05-16 19:51:52
324,233,32,13.6,2025-05-16 20:16:52
325,234,35,5.98,2025-09-21 03:29:35
326,234,19,9.12,2025-09-21 03:45:35
327,235,57,66.9,2025-04-24 03:36:53
328,236,29,3.38,2025-04-10 23:16:51
329,236,16,2.42,2025-04-10 23:04:51
330,237,21,2.19,2025-08-07 15:32:15
331,237,8,6.31,2025-08-07 15:57:15
332,238,46,22.0,2025-04-04 07:16:13
333,239,54,36.7,2025-04-01 19:22:38
334,240,44,14.15,2025-09-22 22:12:10
335,240,2,17.65,2025-09-22 21:50:10
336,241,14,38.8,2025-09-11 22:38:06
337,242,36,25.06,2025-04-22 21:36:04
338,242,21,17.34,2025-04-22 23:07:04
339,243,27,7.1,2025-09-11 16:41:53
340,244,28,45.6,2025-06-12 16:04:13
341,245,18,112.7,2025-11-03 08:35:31
342,246,22,48.2,2025-01-04 23:00:34
343,247,20,7.2,2025-06-26 19:05:25
344,248,37,33.8,2025-07-02 02:54:11
345,249,41,14.88,2025-09-10 04:16:26
346,249,40,16.92,2025-09-10 02:51:26
347,250,39,11.5,2025-08-09 20:32:16
348,251,2,7.7,2025-06-16 12:10:59
349,252,22,9.04,2025-02-25 00:15:51
350,252,50,27.86,2025-02-24 23:30:51
351,253,34,0.74,2025-06-23 20:08:36
352,253,24,2.46,2025-06-23 20:28:36
353,254,54,43.2,2025-01-05 19:05:19
354,255,46,86.2,2025-02-16 07:56:07
355,256,11,54.6,2025-10-27 09:18:19
356,257,36,19.76,2025-08-28 01:20:27
357,257,16,34.24,2025-08-28 02:26:27
358,258,7,13.4,2025-08-24 15:10:46
359,258,26,13.02,2025-08-24 15:07:46
360,258,32,36.18,2025-08-24 15:44:46
361,259,20,28.4,2025-07-29 02:47:40
362,260,50,23.6,2025-08-20 18:53:35
363,261,8,9.94,2025-05-21 21:49:45
364,261,51,35.86,2025-05-21 21:58:45
365,262,9,7.4,2025-03-20 21:15:15
366,263,6,17.93,2025-02-15 13:26:07
367,263,5,10.17,2025-02-15 11:45:07
368,264,49,30.0,2025-06-23 09:51:58
369,265,54,3.67,2025-08-08 09:46:59
370,265,39,13.83,2025-08-08 09:20:59
371,266,51,13.99,2025-01-09 20:19:55
372,266,13,42.41,2025-01-09 19:54:55
373,267,21,19.59,2025-01-18 23:57:53
374,267,33,11.51,2025-01-18 23:11:53
375,268,13,1.79,2025-07-03 17:09:21
376,268,17,3.31,2025-07-03 16:23:21
377,269,6,9.03,2025-09-07 12:30:46
378,269,27,5.54,2025-09-07 12:04:46
379,269,18,6.43,2025-09-07 12:47:46
380,270,35,38.7,2025-06-24 14:19:08
381,271,2,35.0,2025-07-29 19:36:34
382,272,35,11.29,2025-07-25 18:57:11
383,272,7,6.99,2025-07-25 18:51:11
384,272,15,4.72,2025-07-25 18:17:11
385,273,26,25.5,2025-04-27 05:09:40
386,274,37,11.91,2025-11-17 03:27:31
387,274,42,16.19,2025-11-17 02:39:31
388,275,52,32.9,2025-10-09 22:10:46
389,276,7,33.3,2025-10-25 20:28:08
390,277,56,13.4,2025-08-20 00:33:38
391,278,40,14.99,2025-10-15 23:21:35
392,278,31,7.34,2025-10-16 00:17:35
393,278,47,11.97,2025-10-15 23:36:35
394,279,50,14.44,2025-10-29 17:43:14
395,279,17,10.46,2025-10-29 18:39:14
396,280,22,59.6,2025-08-13 03:28:15
397,281,37,8.52,2025-04-28 14:16:54
398,281,27,30.58,2025-04-28 14:04:54
399,282,49,7.75,2025-04-18 05:13:13
400,282,51,15.45,2025-04-18 05:58:13
401,283,21,44.2,2025-09-21 23:37:34
402,284,33,3.35,2025-09-19 02:32:57
403,284,55,3.89,2025-09-19 02:42:57
404,284,47,4.16,2025-09-19 03:05:57
405,285,28,22.5,2025-02-28 07:11:32
406,286,1,36.08,2025-03-29 22:07:48
407,286,34,56.92,2025-03-29 20:51:48
408,287,56,2.52,2025-08-07 18:55:01
409,287,3,6.38,2025-08-07 18:13:01
410,288,52,21.55,2025-04-05 17:06:19
411,288,32,26.55,2025-04-05 16:53:19
412,289,27,81.1,2025-02-06 07:09:36
413,290,8,4.4,2025-08-24 07:30:26
414,291,47,21.5,2025-10-09 15:47:50
415,292,21,8.55,2025-01-07 08:11:13
416,292,57,7.35,2025-01-07 08:23:13
417,293,11,29.0,2025-10-21 08:25:19
418,294,44,21.8,2025-06-04 10:08:43
419,295,46,22.7,2025-07-01 11:14:09
420,296,17,43.9,2025-07-13 12:24:37
421,297,60,24.5,2025-05-25 07:49:13
422,299,47,56.4,2025-06-12 13:51:35
423,300,54,6.79,2025-04-06 20:03:11
424,300,1,2.44,2025-04-06 19:32:11
425,300,27,2.67,2025-04-06 19:12:11
426,301,5,38.0,2025-10-24 20:12:12
427,302,45,6.63,2025-03-07 16:38:04
428,302,35,15.71,2025-03-07 16:25:04
429,302,22,10.46,2025-03-07 17:11:04
430,303,30,28.6,2025-07-10 00:55:16
431,304,23,59.5,2025-01-14 11:33:36
432,306,23,102.7,2025-10-02 23:55:53
433,307,18,16.7,2025-08-29 07:12:30
434,309,38,27.6,2025-10-08 20:23:26
435,310,26,1.08,2025-06-17 15:01:59
436,310,36,1.72,2025-06-17 13:55:59
437,311,13,21.8,2025-02-28 05:23:30
438,312,7,27.3,2025-11-06 01:49:37
439,313,37,39.27,2025-04-05 19:34:42
440,313,9,76.23,2025-04-05 19:14:42
441,314,25,5.48,2025-09-10 19:15:19
442,314,37,5.62,2025-09-10 18:19:19
443,315,52,18.45,2025-07-05 05:26:20
444,315,56,18.75,2025-07-05 06:25:20
445,316,14,29.6,2025-06-18 21:29:51
446,317,15,72.2,2025-01-17 22:26:40
447,318,10,10.57,2025-01-19 10:27:20
448,318,31,21.94,2025-01-19 10:30:20
449,318,21,12.09,2025-01-19 10:09:20
450,319,9,37.4,2025-09-13 22:17:21
451,320,28,11.7,2025-02-26 09:03:45
452,321,49,15.07,2025-03-05 11:22:45
453,321,16,26.33,2025-03-05 10:33:45
454,322,50,42.1,2025-07-30 07:22:25
455,323,23,8.7,2025-01-31 20:09:56
456,324,21,15.9,2025-01-30 21:48:29
457,326,54,39.6,2025-03-30 23:51:14
458,327,41,39.1,2025-09-14 22:25:30
459,328,28,9.01,2025-01-29 23:04:55
460,328,29,7.19,2025-01-29 22:28:55
461,329,17,51.8,2025-10-15 15:55:13
462,330,42,10.39,2025-06-23 02:19:19
463,330,12,11.31,2025-06-23 02:08:19
464,331,55,6.9,2025-06-17 17:57:12
465,332,23,33.2,2025-02-05 04:53:29
466,333,57,15.66,2025-01-06 04:22:22
467,333,25,35.34,2025-01-06 03:35:22
468,334,1,64.1,2025-04-05 16:16:27
469,335,34,85.4,2025-04-15 19:26:23
470,336,20,18.5,2025-04-18 13:34:03
471,337,59,64.4,2025-04-07 03:20:09
472,338,39,50.8,2025-02-11 21:14:17
473,339,18,38.2,2025-05-28 22:21:51
474,340,3,58.4,2025-08-20 05:08:36
475,341,37,36.82,2025-07-06 08:58:39
476,341,2,17.72,2025-07-06 10:36:39
477,341,46,21.85,2025-07-06 10:41:39
478,342,30,54.31,2025-09-28 06:58:33
479,342,12,23.39,2025-09-28 06:40:33
480,343,49,39.5,2025-04-20 06:07:12
481,344,3,34.3,2025-08-19 08:20:21
482,345,58,85.0,2025-10-10 19:35:11
483,346,56,6.69,2025-01-28 05:08:19
484,346,9,5.41,2025-01-28 06:34:19
485,347,55,56.5,2025-04-29 00:32:17
486,348,41,10.4,2025-01-30 02:30:18
487,349,35,8.92,2025-07-17 03:57:19
488,349,55,16.07,2025-07-17 02:43:19
489,350,48,22.1,2025-09-30 21:10:19
490,351,44,37.7,2025-10-27 01:07:16
491,352,11,6.23,2025-01-18 14:32:30
492,352,47,11.17,2025-01-18 14:17:30
493,353,27,11.68,2025-05-10 03:43:18
494,353,43,10.96,2025-05-10 04:39:18
495,353,4,6.06,2025-05-10 04:17:18
496,354,49,15.6,2025-03-28 15:07:00
497,355,18,35.7,2025-03-28 05:52:54
498,356,3,41.3,2025-09-26 12:26:31
499,357,45,119.7,2025-04-26 02:12:40
500,358,41,16.4,2025-05-16 15:11:30
501,359,20,39.93,2025-05-16 14:33:38
502,359,36,24.57,2025-05-16 15:08:38
503,360,30,60.0,2025-01-27 10:59:36
504,361,6,7.5,2025-02-12 20:59:02
505,362,6,112.3,2025-07-20 18:33:42
506,363,12,46.4,2025-04-01 09:24:01
507,364,41,3.37,2025-06-18 05:12:06
508,364,50,8.13,2025-06-18 03:59:06
509,365,14,31.5,2025-08-19 07:55:00
510,366,6,29.7,2025-10-20 13:18:54
511,367,54,33.33,2025-05-23 10:15:17
512,367,42,16.27,2025-05-23 11:03:17
513,368,9,8.85,2025-07-25 08:23:37
514,368,4,3.89,2025-07-25 07:28:37
515,368,46,3.47,2025-07-25 07:37:37
516,369,9,75.7,2025-08-17 08:01:49
517,370,15,103.0,2025-11-13 09:37:24
518,371,12,15.49,2025-09-19 09:06:12
519,371,17,30.61,2025-09-19 09:18:12
520,372,23,8.37,2025-05-26 08:39:53
521,372,24,16.83,2025-05-26 08:51:53
522,373,34,26.4,2025-08-12 15:06:50
523,374,44,63.5,2025-09-08 23:45:35
524,375,38,15.48,2025-02-24 21:35:30
525,375,10,55.52,2025-02-24 20:38:30
526,376,45,52.6,2025-07-08 13:28:57
527,377,52,77.4,2025-07-12 14:59:12
528,378,45,13.04,2025-03-07 07:47:55
529,378,36,24.86,2025-03-07 08:08:55
530,379,33,19.64,2025-01-14 01:05:25
531,379,14,13.26,2025-01-14 02:32:25
532,380,17,20.9,2025-08-09 01:23:39
533,381,34,47.6,2025-02-14 16:52:59
534,382,30,14.74,2025-11-16 19:44:22
535,382,21,35.56,2025-11-16 20:42:22
536,383,43,23.2,2025-02-10 03:33:25
537,384,21,31.3,2025-06-25 00:02:33
538,385,11,20.39,2025-11-12 15:32:11
539,385,31,19.21,2025-11-12 16:24:11
540,386,58,30.2,2025-08-26 09:35:08
541,387,20,77.8,2025-11-10 04:09:58
542,388,12,68.6,2025-03-07 18:42:26
543,389,30,6.72,2025-07-20 04:09:42
544,389,37,9.28,2025-07-20 04:06:42
545,390,54,18.93,2025-11-02 12:20:16
546,390,17,14.57,2025-11-02 11:51:16
547,391,44,19.85,2025-09-30 18:57:08
548,391,20,19.85,2025-09-30 18:47:08
549,392,49,6.9,2025-10-24 02:05:53
550,393,50,24.67,2025-04-15 17:41:31
551,393,37,8.77,2025-04-15 17:21:31
552,393,38,9.76,2025-04-15 17:38:31
553,394,11,40.5,2025-02-06 12:57:22
554,395,34,9.9,2025-07-09 22:33:15
555,395,37,5.5,2025-07-09 21:29:15
556,396,51,9.38,2025-10-12 05:38:45
557,396,6,26.02,2025-10-12 05:02:45
558,397,10,28.2,2025-11-06 10:03:20
559,398,30,12.48,2025-04-15 15:27:41
560,398,43,16.62,2025-04-15 15:06:41
561,399,20,18.2,2025-08-09 05:21:36
562,400,16,108.4,2025-01-19 04:46:08
563,402,16,9.45,2025-09-10 20:06:46
564,402,44,13.15,2025-09-10 18:53:46
565,403,24,6.5,2025-02-02 10:01:54
566,404,23,10.8,2025-04-30 00:03:09
567,406,44,13.6,2025-07-22 02:54:16
568,407,59,5.3,2025-06-14 08:52:04
569,408,54,13.1,2025-10-12 04:10:30
570,409,49,30.6,2025-05-29 23:54:07
571,410,49,31.76,2025-01-27 22:28:32
572,410,26,48.84,2025-01-27 22:05:32
573,411,44,17.13,2025-05-17 19:12:24
574,411,56,9.27,2025-05-17 19:01:24
575,412,35,31.2,2025-09-25 00:15:37
576,413,43,5.3,2025-10-20 14:30:06
577,414,57,10.06,2025-11-04 14:00:08
578,414,12,10.34,2025-11-04 14:49:08
579,415,33,12.67,2025-08-22 18:36:02
580,415,1,20.23,2025-08-22 19:38:02
581,416,26,15.7,2025-09-14 02:32:58
582,417,32,8.89,2025-10-18 18:51:28
583,417,3,8.11,2025-10-18 18:58:28
584,418,6,6.9,2025-05-31 05:47:51
585,419,12,53.9,2025-01-06 02:01:21
586,420,20,24.5,2025-05-23 06:39:27
587,421,31,93.9,2025-01-07 21:28:23
588,422,12,14.2,2025-11-03 21:45:57
589,423,34,32.2,2025-06-11 17:43:24
590,424,23,6.0,2025-08-28 14:18:29
591,424,47,7.9,2025-08-28 15:35:29
592,425,26,30.3,2025-11-11 05:39:57
593,426,9,10.92,2025-09-10 17:46:36
594,426,33,42.08,2025-09-10 18:19:36
595,427,1,30.3,2025-04-04 01:23:42
596,428,26,74.6,2025-08-27 04:36:11
597,429,20,34.0,2025-03-10 13:24:18
598,430,41,8.6,2025-07-13 04:38:13
599,431,52,33.4,2025-03-07 06:05:27
600,432,31,17.81,2025-02-16 06:11:06
601,432,22,21.69,2025-02-16 06:03:06
602,433,51,11.46,2025-07-23 19:04:30
603,433,28,5.24,2025-07-23 19:12:30
604,434,56,48.8,2025-07-13 01:24:49
605,435,60,4.43,2025-05-24 03:58:54
606,435,38,11.67,2025-05-24 04:45:54
